sku,slug,nameTh,nameZh,nameEn,descriptionTh,descriptionZh,descriptionEn,priceCents,currency,stock,weightGrams,category,tags,images,active
BTL-DSC-PCH-1G,beauty-lab-peach-dark-spot-corrector-1-2g,บิวตี้แลป พีช ดาร์ค สปอต คอเรคเตอร์ 1.2 กรัม,Beauty Lab 蜜桃淡斑精华笔 1.2克,Beauty Lab Peach Dark Spot Corrector 1.2g,บิวตี้แลป พีช ดาร์ค สปอต คอเรคเตอร์ 1.2 กรัม สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Beauty Lab 蜜桃淡斑精华笔 1.2克，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Beauty Lab Peach Dark Spot Corrector 1.2g — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",6900,CNY,50,20,Skincare,Beauty|泰国护肤品|进口护肤|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/btl-dsc-pch-1g.webp,true
JOJ-SHP-KRT-400ML,joji-secret-young-keratin-shampoo-400ml,Joji Secret Young แชมพูเคราติน 400 ml,Joji Secret Young 角蛋白修护洗发水 400毫升,Joji Secret Young Keratin Shampoo 400ml,Joji Secret Young แชมพูเคราติน 400 ml สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Joji Secret Young 角蛋白修护洗发水 400毫升，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Joji Secret Young Keratin Shampoo 400ml — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",12900,CNY,50,450,Hair Care,Joji|泰国洗护|头发护理|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/joj-shp-krt-400ml.webp,true
CHM-LPT-PIM-3G,charmiss-paradise-island-mirror-lip-tint-3g,Charmiss ลิปทินท์ Paradise Island Mirror Tint 3 กรัม,Charmiss 天堂岛镜面唇釉 3克,Charmiss Paradise Island Mirror Tint 3g,Charmiss ลิปทินท์ Paradise Island Mirror Tint 3 กรัม สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Charmiss 天堂岛镜面唇釉 3克，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Charmiss Paradise Island Mirror Tint 3g — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",8900,CNY,50,30,Makeup,Charmiss|泰国美妆|进口彩妆|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/chm-lpt-pim-3g.webp,true
SRJ-SUN-PURE-30G,siriraj-pure-physical-sunscreen-30g,ศิริราช เพียว ฟิสิคอล ซันสกรีน 30 กรัม,Siriraj 纯物理温和防晒霜 30克,Siriraj Pure Physical Sunscreen 30g,ศิริราช เพียว ฟิสิคอล ซันสกรีน 30 กรัม สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Siriraj 纯物理温和防晒霜 30克，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Siriraj Pure Physical Sunscreen 30g — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",20000,CNY,50,60,Skincare,Siriraj|泰国护肤品|进口护肤|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/srj-sun-pure-30g.webp,true
GRV-SRM-RTN-8ML-6PK,gravich-retinol-complex-serum-8ml-6pcs,Gravich เซรั่ม Retinol Complex 8มล. (แพ็ก6),Gravich 视黄醇复合精华液 8毫升 (6支装),Gravich Retinol Complex Serum 8ml (Pack of 6),Gravich เซรั่ม Retinol Complex 8มล. (แพ็ก6) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Gravich 视黄醇复合精华液 8毫升 (6支装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Gravich Retinol Complex Serum 8ml (Pack of 6) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",12900,CNY,50,150,Skincare,Gravich|泰国护肤品|进口护肤|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/grv-srm-rtn-8ml-6pk.webp,true
NAM-CSH-MGT-10G,nami-make-up-pro-magnet-cushion-10g,Nami คูชชั่น Make Up Pro Magnet Cushion 10 กรัม,Nami 磁力持妆气垫粉底 10克,Nami Make Up Pro Magnet Cushion 10g,Nami คูชชั่น Make Up Pro Magnet Cushion 10 กรัม สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Nami 磁力持妆气垫粉底 10克，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Nami Make Up Pro Magnet Cushion 10g — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",7900,CNY,50,80,Makeup,Nami|泰国美妆|进口彩妆|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/nam-csh-mgt-10g.webp,true
SRJ-SUN-TINT-30G,siriraj-tint-physical-sunscreen-30g,ศิริราช ทินท์ ฟิสิคอล ซันสกรีน 30 กรัม,Siriraj 润色物理防晒霜 30克,Siriraj Tint Physical Sunscreen 30g,ศิริราช ทินท์ ฟิสิคอล ซันสกรีน 30 กรัม สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Siriraj 润色物理防晒霜 30克，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Siriraj Tint Physical Sunscreen 30g — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",21400,CNY,50,60,Skincare,Siriraj|泰国护肤品|进口护肤|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/srj-sun-tint-30g.webp,true
MRZ-PWD-SET-4G,merrezca-face-touch-setting-powder-4-4g,Merrezca แป้งไพรเมอร์ Face Touch Setting Powder 4.4 กรัม,Merrezca 定妆控油蜜粉 4.4克,Merrezca Face Touch Setting Powder 4.4g,Merrezca แป้งไพรเมอร์ Face Touch Setting Powder 4.4 กรัม สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Merrezca 定妆控油蜜粉 4.4克，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Merrezca Face Touch Setting Powder 4.4g — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",8800,CNY,50,30,Makeup,Merrezca|泰国美妆|进口彩妆|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mrz-pwd-set-4g.webp,true
AR-PWD-EVG-25G,ar-ever-glow-foundation-powder-25-4g,AR แป้งผสมรองพื้น Ever Glow Foundation Powder 25.4 กรัม,AR 持妆光泽粉饼 25.4克,AR Ever Glow Foundation Powder 25.4g,AR แป้งผสมรองพื้น Ever Glow Foundation Powder 25.4 กรัม สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,AR 持妆光泽粉饼 25.4克，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"AR Ever Glow Foundation Powder 25.4g — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",6900,CNY,50,80,Makeup,AR|泰国美妆|进口彩妆|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ar-pwd-evg-25g.webp,true
SMT-LIP-PJL-2G-6PK,smooto-plumping-jelly-lip-2g-6pcs,Smooto ลิปสติก Plumping Jelly Lip 2 กรัม (แพ็ก6ชิ้น),Smooto 果冻丰唇膏 2克 (6支装),Smooto Plumping Jelly Lip 2g (Pack of 6),Smooto ลิปสติก Plumping Jelly Lip 2 กรัม (แพ็ก6ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Smooto 果冻丰唇膏 2克 (6支装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Smooto Plumping Jelly Lip 2g (Pack of 6) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",13900,CNY,50,100,Makeup,Smooto|泰国美妆|进口彩妆|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/smt-lip-pjl-2g-6pk.webp,true
