sku,slug,nameTh,nameZh,nameEn,descriptionTh,descriptionZh,descriptionEn,priceCents,currency,stock,weightGrams,category,tags,images,active,lotusUrl
LAY-CHP-NOR-48G-6PK,lays-nori-seaweed-48g-6pcs,เลย์ รสโนริสาหร่าย 48 กรัม (แพ็ก 6 ถุง),乐事海苔味薯片 48克 (6包装),Lay's Nori Seaweed 48g (Pack of 6),เลย์ รสโนริสาหร่าย 48 กรัม (แพ็ก 6 ถุง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,乐事海苔味薯片 48克 (6包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Lay's Nori Seaweed 48g (Pack of 6) — 100% authentic Thai product, shipped directly from Thailand.",7200,CNY,50,400,Snack,乐事海苔味薯片|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/lay-chp-nor-48g-6pk.webp,true,https://www.lotuss.com/th/product/lays-nori-seaweed-flavor-flat-potato-chips-50g-x-6pcs-70648662
MLO-PWD-270G,milo-activ-go-powder-bag-270g,ไมโล แอคทีฟ-โก เครื่องดื่มมอลต์ ถุง 270 กรัม,美禄巧克力麦芽饮品粉 270克,Milo Activ-Go Powder Bag 270g,ไมโล แอคทีฟ-โก เครื่องดื่มมอลต์ ถุง 270 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,美禄巧克力麦芽饮品粉 270克，泰国正品，精选泰国人气商品，泰国直邮。,"Milo Activ-Go Powder Bag 270g — 100% authentic Thai product, shipped directly from Thailand.",4800,CNY,50,300,Beverage,美禄巧克力麦芽饮品粉|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mlo-pwd-270g.webp,true,https://www.lotuss.com/en/product/milo-activgo-chocolate-malt-beverage-300g-7489064
OVT-PWD-1KG,ovaltine-classic-malt-powder-1kg,โอวัลติน คลาสสิค เครื่องดื่มมอลต์ 1 กิโลกรัม,阿华田经典麦芽饮品粉 1公斤,Ovaltine Classic Malt Powder 1kg,โอวัลติน คลาสสิค เครื่องดื่มมอลต์ 1 กิโลกรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,阿华田经典麦芽饮品粉 1公斤，泰国正品，精选泰国人气商品，泰国直邮。,"Ovaltine Classic Malt Powder 1kg — 100% authentic Thai product, shipped directly from Thailand.",7900,CNY,50,1100,Beverage,阿华田经典麦芽饮品粉|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ovt-pwd-1kg.webp,true,https://www.lotuss.com/th/product/75646512
SRP-CHS-MED-250G-3PK,sriraja-panich-chili-sauce-250g-3pcs,ศรีราชาพานิช ซอสพริก เผ็ดกลาง 250 กรัม (แพ็ก 3 ขวด),是拉差辣椒酱始祖牌 中辣 250克 (3瓶装),Sriraja Panich Chili Sauce Medium 250g (Pack of 3),ศรีราชาพานิช ซอสพริก เผ็ดกลาง 250 กรัม (แพ็ก 3 ขวด) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,是拉差辣椒酱始祖牌 中辣 250克 (3瓶装)，泰国正品，精选泰国人气商品，泰国直邮。,"Sriraja Panich Chili Sauce Medium 250g (Pack of 3) — 100% authentic Thai product, shipped directly from Thailand.",6900,CNY,50,900,Thai Cooking,是拉差辣椒酱始祖牌|泰国调料|泰式料理|泰国厨房|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/srp-chs-med-250g-3pk.webp,true,https://www.lotuss.com/th/product/sriraja-panich-medium-hot-chili-sauce-250g-20494629
RJK-MSK-ACN-25ML-5PK,rojukiss-acne-poreless-intensive-mask-25ml-5pcs,โรจูคิส แอคเน่ พอร์เลส มาส์ก 25 มล. (แพ็ก 5 แผ่น),Rojukiss 祛痘毛孔密集面膜 25毫升 (5片装),Rojukiss Acne Poreless 5X Intensive Mask 25ml (Pack of 5),โรจูคิส แอคเน่ พอร์เลส มาส์ก 25 มล. (แพ็ก 5 แผ่น) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Rojukiss 祛痘毛孔密集面膜 25毫升 (5片装)，泰国正品，精选泰国人气商品，泰国直邮。,"Rojukiss Acne Poreless 5X Intensive Mask 25ml (Pack of 5) — 100% authentic Thai product, shipped directly from Thailand.",6900,CNY,50,200,Skincare,Rojukiss|泰国护肤品|进口护肤|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/rjk-msk-acn-25ml-5pk.webp,true,https://www.lotuss.com/th/product/rojukiss-acne-poreless-5x-intensive-mask-25ml-50128919
TYB-DEO-EXW-30ML,taoyeablok-whitening-roll-on-30ml,เต่าเหยียบโลก โรลออน เอ็กซ์ตร้าไวท์เทนนิ่ง 30 มล.,Taoyeablok 草本美白止汗走珠 30毫升,Taoyeablok Extra Whitening Roll-On 30ml,เต่าเหยียบโลก โรลออน เอ็กซ์ตร้าไวท์เทนนิ่ง 30 มล. สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Taoyeablok 草本美白止汗走珠 30毫升，泰国正品，精选泰国人气商品，泰国直邮。,"Taoyeablok Extra Whitening Roll-On 30ml — 100% authentic Thai product, shipped directly from Thailand.",4200,CNY,50,80,Personal Care,Taoyeablok|个人护理|泰国日用品|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/tyb-deo-exw-30ml.webp,true,https://www.lotuss.com/th/product/74412175
CDL-LIP-CC-10G,cathy-doll-cc-lip-serum-10g,Cathy Doll ซีซี ลิป เซรั่ม 10 กรัม,Cathy Doll CC唇部精华 10克,Cathy Doll CC Lip Serum 10g,Cathy Doll ซีซี ลิป เซรั่ม 10 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Cathy Doll CC唇部精华 10克，泰国正品，精选泰国人气商品，泰国直邮。,"Cathy Doll CC Lip Serum 10g — 100% authentic Thai product, shipped directly from Thailand.",4900,CNY,50,40,Makeup,Cathy|泰国美妆|进口彩妆|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/cdl-lip-cc-10g.webp,true,https://www.lotuss.com/th/product/75638064
SPP-TNK-PWD-20G,supaporn-tanaka-powder-20g,สุภาภรณ์ ผงทานาคา 20 กรัม,Supaporn 塔纳卡天然美肤粉 20克,Supaporn Tanaka Powder 20g,สุภาภรณ์ ผงทานาคา 20 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Supaporn 塔纳卡天然美肤粉 20克，泰国正品，精选泰国人气商品，泰国直邮。,"Supaporn Tanaka Powder 20g — 100% authentic Thai product, shipped directly from Thailand.",3900,CNY,50,40,Skincare,Supaporn|泰国护肤品|进口护肤|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/spp-tnk-pwd-20g.webp,true,https://www.lotuss.com/th/product/supaporn-tanaka-powder-20g-51525966
TFM-GRL-FRD-100G,ton-farm-fried-garlic-100g,ต้นฟาร์ม กระเทียมเจียว 100 กรัม,泰式炸蒜酥 100克,Ton Farm Fried Garlic 100g,ต้นฟาร์ม กระเทียมเจียว 100 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,泰式炸蒜酥 100克，泰国正品，精选泰国人气商品，泰国直邮。,"Ton Farm Fried Garlic 100g — 100% authentic Thai product, shipped directly from Thailand.",2900,CNY,50,130,Thai Cooking,泰式炸蒜酥|泰国调料|泰式料理|泰国厨房|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/tfm-grl-frd-100g.webp,true,https://www.lotuss.com/th/product/75568258
TGD-CSH-SLT-40G,tong-garden-salted-cashew-40g,ทองการ์เด้น มะม่วงหิมพานต์อบเกลือ 40 กรัม,东园盐焗腰果 40克,Tong Garden Salted Cashew Nuts 40g,ทองการ์เด้น มะม่วงหิมพานต์อบเกลือ 40 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,东园盐焗腰果 40克，泰国正品，精选泰国人气商品，泰国直邮。,"Tong Garden Salted Cashew Nuts 40g — 100% authentic Thai product, shipped directly from Thailand.",2400,CNY,50,60,Snack,东园盐焗腰果|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/tgd-csh-slt-40g.webp,true,https://www.lotuss.com/en/product/52482228
