sku,slug,nameTh,nameZh,nameEn,descriptionTh,descriptionZh,descriptionEn,priceCents,currency,stock,weightGrams,category,tags,images,active,makroUrl
DNT-TPS-100G,dentiste-toothpaste-100g,เดนทิสเต้ ยาสีฟัน 100 กรัม,Dentiste 夜用牙膏 100克,Dentiste Toothpaste 100g,เดนทิสเต้ ยาสีฟัน 100 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Dentiste 夜用牙膏 100克，泰国正品，精选泰国人气商品，泰国直邮。,"Dentiste Toothpaste 100g — 100% authentic Thai product, shipped directly from Thailand.",9900,CNY,50,140,Personal Care,Dentiste|个人护理|泰国日用品|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/dnt-tps-100g.webp,true,https://www.makro.pro/th/p/840372-7352557994179
TPT-TPS-ORG-70G-3PK,tepthai-herbal-toothpaste-original-70g-3pcs,เทพไทย ยาสีฟันสมุนไพร ดั้งเดิม 70 กรัม (แพ็ก 3),Tepthai 泰式草本牙膏 原味 70克 (3支装),Tepthai Herbal Toothpaste Original 70g (Pack of 3),เทพไทย ยาสีฟันสมุนไพร ดั้งเดิม 70 กรัม (แพ็ก 3) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Tepthai 泰式草本牙膏 原味 70克 (3支装)，泰国正品，精选泰国人气商品，泰国直邮。,"Tepthai Herbal Toothpaste Original 70g (Pack of 3) — 100% authentic Thai product, shipped directly from Thailand.",18400,CNY,50,300,Personal Care,Tepthai|个人护理|泰国日用品|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/tpt-tps-org-70g-3pk.webp,true,https://www.makro.pro/th/p/837296-7325086384323
NSC-3IN1-RA-60S,nescafe-3in1-rich-aroma-60-sachets,เนสกาแฟ 3in1 เบลนด์แอนด์บรู ริช อโรมา 17 กรัม (60 ซอง),雀巢咖啡3合1香浓原味 17克 (60条装),Nescafe 3in1 Blend & Brew Rich Aroma 17g (60 Sachets),เนสกาแฟ 3in1 เบลนด์แอนด์บรู ริช อโรมา 17 กรัม (60 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,雀巢咖啡3合1香浓原味 17克 (60条装)，泰国正品，精选泰国人气商品，泰国直邮。,"Nescafe 3in1 Blend & Brew Rich Aroma 17g (60 Sachets) — 100% authentic Thai product, shipped directly from Thailand.",12800,CNY,50,1150,Beverage,雀巢咖啡3合1香浓原味|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/nsc-3in1-ra-60s.webp,true,https://www.makro.pro/th/p/173919-6761202024643
MAMA-MPK-60G-30PK,mama-minced-pork-60g-case-30,มาม่า รสหมูสับ 60 กรัม (ยกลัง 30 ซอง),妈妈牌肉碎味方便面 60克 (整箱30包),Mama Minced Pork 60g (Case of 30),มาม่า รสหมูสับ 60 กรัม (ยกลัง 30 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,妈妈牌肉碎味方便面 60克 (整箱30包)，泰国正品，精选泰国人气商品，泰国直邮。,"Mama Minced Pork 60g (Case of 30) — 100% authentic Thai product, shipped directly from Thailand.",10800,CNY,50,1900,Instant Food,妈妈牌肉碎味方便面|泰国方便面|速食|泰国特产|整箱批发,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mama-mpk-60g-30pk.webp,true,https://www.makro.pro/th/p/198042-6761217556675
WW-ORI-57G-30PK,waiwai-original-57g-case-30,ไวไว บะหมี่กึ่งสำเร็จรูปปรุงสำเร็จ 57 กรัม (ยกลัง 30 ซอง),WaiWai 泰式经典调味面 57克 (整箱30包),Wai Wai Original 57g (Case of 30),ไวไว บะหมี่กึ่งสำเร็จรูปปรุงสำเร็จ 57 กรัม (ยกลัง 30 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,WaiWai 泰式经典调味面 57克 (整箱30包)，泰国正品，精选泰国人气商品，泰国直邮。,"Wai Wai Original 57g (Case of 30) — 100% authentic Thai product, shipped directly from Thailand.",12000,CNY,50,1800,Instant Food,WaiWai|泰国方便面|速食|泰国特产|整箱批发,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ww-ori-57g-30pk.webp,true,https://www.makro.pro/th/p/232804-6915097723075
BNB-WFR-CHC-20G-12PK,bengbeng-chocolate-wafer-20g-12pcs,เบงเบง เวเฟอร์สอดไส้เคลือบช็อกโกแลต 20 กรัม (แพ็ก 12 ชิ้น),Beng Beng 巧克力威化饼 20克 (12件装),Beng Beng Chocolate Wafer 20g (Pack of 12),เบงเบง เวเฟอร์สอดไส้เคลือบช็อกโกแลต 20 กรัม (แพ็ก 12 ชิ้น) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Beng Beng 巧克力威化饼 20克 (12件装)，泰国正品，精选泰国人气商品，泰国直邮。,"Beng Beng Chocolate Wafer 20g (Pack of 12) — 100% authentic Thai product, shipped directly from Thailand.",3200,CNY,50,300,Snack,Beng|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/bnb-wfr-chc-20g-12pk.webp,true,https://www.makro.pro/th/p/226132-6761187508419
DWN-SFT-PSN-23ML-24PK,downy-passion-softener-sachet-23ml-24pcs,ดาวน์นี่ ปรับผ้านุ่มเข้มข้น แพชชั่น ซอง 23 มล. (แพ็ก 24),Downy 热情花香柔顺剂便携装 23毫升 (24包),Downy Passion Softener Sachet 23ml (Pack of 24),ดาวน์นี่ ปรับผ้านุ่มเข้มข้น แพชชั่น ซอง 23 มล. (แพ็ก 24) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Downy 热情花香柔顺剂便携装 23毫升 (24包)，泰国正品，精选泰国人气商品，泰国直邮。,"Downy Passion Softener Sachet 23ml (Pack of 24) — 100% authentic Thai product, shipped directly from Thailand.",4800,CNY,50,700,Household,Downy|泰国家居|衣物护理|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/dwn-sft-psn-23ml-24pk.webp,true,https://www.makro.pro/th/p/906277-7497571172547
GLC-PKY-MNG-25G-10PK,pocky-mango-25g-10pcs,ป๊อกกี้ บิสกิตแท่งเคลือบ รสมะม่วง 25 กรัม (แพ็ก 10 กล่อง),格力高百奇芒果味 25克 (10盒装),Pocky Mango 25g (Pack of 10),ป๊อกกี้ บิสกิตแท่งเคลือบ รสมะม่วง 25 กรัม (แพ็ก 10 กล่อง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,格力高百奇芒果味 25克 (10盒装)，泰国正品，精选泰国人气商品，泰国直邮。,"Pocky Mango 25g (Pack of 10) — 100% authentic Thai product, shipped directly from Thailand.",8800,CNY,50,300,Snack,格力高百奇芒果味|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/glc-pky-mng-25g-10pk.webp,true,https://www.makro.pro/th/p/813114-7499635065027
GLC-PRZ-LARB-22G-10PK,pretz-larb-22g-10pcs,เพรทซ์ รสลาบ 22 กรัม (แพ็ก 10 กล่อง),格力高百力滋泰式拉布味 22克 (10盒装),Pretz Larb 22g (Pack of 10),เพรทซ์ รสลาบ 22 กรัม (แพ็ก 10 กล่อง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,格力高百力滋泰式拉布味 22克 (10盒装)，泰国正品，精选泰国人气商品，泰国直邮。,"Pretz Larb 22g (Pack of 10) — 100% authentic Thai product, shipped directly from Thailand.",6600,CNY,50,260,Snack,格力高百力滋泰式拉布味|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/glc-prz-larb-22g-10pk.webp,true,https://www.makro.pro/th/p/847265-7352743002307
FUN-CKE-CHC-40G-24PK,fun-o-chocolate-sandwich-cookie-24pcs,ฟันโอ คุกกี้แซนด์วิชครีมช็อกโกแลต 40.5 กรัม (แพ็ก 24 ซอง),Fun-O 巧克力夹心饼干 40.5克 (24包装),Fun-O Chocolate Sandwich Cookie 40.5g (Pack of 24),ฟันโอ คุกกี้แซนด์วิชครีมช็อกโกแลต 40.5 กรัม (แพ็ก 24 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Fun-O 巧克力夹心饼干 40.5克 (24包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Fun-O Chocolate Sandwich Cookie 40.5g (Pack of 24) — 100% authentic Thai product, shipped directly from Thailand.",3900,CNY,50,1050,Snack,Fun-O|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/fun-cke-chc-40g-24pk.webp,true,https://www.makro.pro/th/p/835151-7115270553795
